	attribute	results/star/S21	results/star/S22	results/star/S23	results/star/S24	results/star/S25	results/star/S26	results/star/S27	results/star/S28	results/star/S29	results/star/S30	results/star/S31	results/star/S32	results/star/S33	results/star/S34	results/star/S35	results/star/S36	results/star/S37	results/star/S38	results/star/S39	results/star/S40	results/star/S41	results/star/S42	results/star/S43	results/star/S44	results/star/S45	results/star/S46	results/star/S47	results/star/S48	results/star/S49	results/star/S50	results/star/S51	results/star/S52	results/star/S53	results/star/S54	results/star/S55
10	                       Number of splices: Total |	396344	670967	674871	605291	589929	562725	531146	519792	450985	626377	439852	498882	585028	623739	507674	519707	381136	589421	480153	590425	526820	595690	646220	636410	591611	355322	577435	560812	808324	601048	663362	574680	545825	599426	564536
11	            Number of splices: Annotated (sjdb) |	232147	481798	486473	423020	413906	395396	371625	368661	279173	451237	264293	313406	430525	453577	338421	343199	237905	401039	307716	418966	362155	435648	470173	468187	425164	222678	412771	413807	610532	445497	495219	400070	401821	438422	411545
12	                       Number of splices: GT/AG |	292209	600637	609540	524873	517464	493070	466782	459788	347127	562164	333707	394358	536969	568129	424484	430985	298316	504130	386629	525137	455256	542163	584223	580865	530055	275438	515516	518096	769888	554931	619151	500054	502483	547110	514456
13	                       Number of splices: GC/AG |	2539	4154	4842	4124	4112	3851	3404	3692	2779	4469	2834	2954	4189	4454	3387	3460	2509	4082	3339	3899	3436	4143	4605	4401	4029	2496	3996	4033	5303	4456	4512	3875	3931	4043	3942
14	                       Number of splices: AT/AC |	988	1712	1307	1608	1524	1194	1479	1318	1111	1515	1123	1246	1360	1530	1383	1407	951	1601	1324	1480	1469	1483	1503	1545	1372	870	1512	1304	1922	1511	1463	1466	1424	1518	1213
15	               Number of splices: Non-canonical |	100608	64464	59182	74686	66829	64610	59481	54994	99968	58229	102188	100324	42510	49626	78420	83855	79360	79608	88861	59909	66659	47901	55889	49599	56155	76518	56411	37379	31211	40150	38236	69285	37987	46755	44925
16	                      Mismatch rate per base, % |	1.47%	1.47%	1.46%	1.49%	1.41%	1.48%	1.42%	1.47%	1.48%	1.49%	1.53%	1.50%	1.43%	1.43%	1.45%	1.45%	1.47%	1.48%	1.49%	1.49%	1.46%	1.46%	1.46%	1.42%	1.46%	1.48%	1.48%	1.51%	1.45%	1.45%	1.46%	1.49%	1.50%	1.50%	1.51%
17	                         Deletion rate per base |	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.00%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%
18	                        Deletion average length |	1.18	1.18	1.18	1.19	1.18	1.20	1.18	1.20	1.19	1.20	1.18	1.19	1.19	1.20	1.18	1.18	1.19	1.19	1.19	1.21	1.20	1.21	1.21	1.22	1.21	1.20	1.20	1.23	1.20	1.20	1.21	1.20	1.21	1.21	1.22
19	                        Insertion rate per base |	0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
20	                       Insertion average length |	1.11	1.12	1.11	1.11	1.11	1.10	1.10	1.11	1.10	1.11	1.11	1.13	1.11	1.10	1.10	1.10	1.11	1.11	1.11	1.11	1.11	1.11	1.10	1.10	1.10	1.08	1.10	1.11	1.11	1.09	1.10	1.11	1.10	1.10	1.11
21	                             MULTI-MAPPING READS:																																			
22	        Number of reads mapped to multiple loci |	1967014	1863847	1028297	2611498	2187037	2992317	1600891	2631377	2160483	2664467	1658264	1576317	1630158	2296063	1802528	1800927	2141938	2162329	1847490	1581091	2223826	2425768	2534191	2730100	1616941	2072487	2578253	1861734	1678592	1865129	1179342	2645145	1533650	1869560	1801405
23	             % of reads mapped to multiple loci |	11.23%	8.79%	5.34%	12.51%	10.92%	14.59%	9.01%	14.43%	10.57%	13.03%	8.58%	8.14%	8.75%	12.16%	9.28%	9.24%	12.42%	9.89%	9.65%	8.39%	11.77%	12.67%	12.50%	14.24%	8.51%	11.75%	13.04%	10.73%	8.51%	9.87%	6.23%	12.58%	9.30%	10.03%	9.96%
24	        Number of reads mapped to too many loci |	36627	21433	23211	22194	20873	18232	25441	16361	34056	16406	38375	39005	12025	16661	28152	30787	27325	29463	29929	19146	20865	12431	14775	15890	15524	19236	16721	8106	7996	9349	5508	16414	8227	10078	9201
25	             % of reads mapped to too many loci |	0.21%	0.10%	0.12%	0.11%	0.10%	0.09%	0.14%	0.09%	0.17%	0.08%	0.20%	0.20%	0.06%	0.09%	0.14%	0.16%	0.16%	0.13%	0.16%	0.10%	0.11%	0.06%	0.07%	0.08%	0.08%	0.11%	0.08%	0.05%	0.04%	0.05%	0.03%	0.08%	0.05%	0.05%	0.05%
26	                                  UNMAPPED READS:																																			
27	  Number of reads unmapped: too many mismatches |	4871682	2875771	2693890	3659224	3327515	3271723	2891086	2814721	5016353	2805633	5465237	5177198	1947858	2354124	4058496	4081175	4285806	4553616	4526600	2931922	3340786	2310051	2629843	2468782	2731078	3719644	2748875	1769201	1475261	1834747	1574138	3400671	1710674	2114071	2099542
28	       % of reads unmapped: too many mismatches |	27.82%	13.57%	13.99%	17.53%	16.62%	15.95%	16.26%	15.44%	24.53%	13.73%	28.28%	26.73%	10.46%	12.46%	20.88%	20.95%	24.86%	20.83%	23.64%	15.55%	17.68%	12.07%	12.97%	12.88%	14.37%	21.08%	13.91%	10.20%	7.48%	9.71%	8.32%	16.17%	10.37%	11.34%	11.61%
29	            Number of reads unmapped: too short |	3448595	1816245	1759084	2491265	2183681	1803195	1698433	1665441	3461639	1733108	3811482	3626224	940423	1386150	2589821	2643963	3121504	2939729	3169293	1985686	1932956	1265671	1365217	1211407	1555365	2294961	1513129	925638	467230	1049149	822133	2150341	1014285	1199053	1225176
30	                 % of reads unmapped: too short |	19.69%	8.57%	9.13%	11.93%	10.91%	8.79%	9.55%	9.14%	16.93%	8.48%	19.72%	18.73%	5.05%	7.34%	13.33%	13.57%	18.10%	13.45%	16.55%	10.53%	10.23%	6.61%	6.73%	6.32%	8.18%	13.01%	7.65%	5.34%	2.37%	5.55%	4.34%	10.22%	6.15%	6.43%	6.77%
31	                Number of reads unmapped: other |	31692	72721	89405	51503	44095	40442	37140	37857	58938	57571	70455	68862	37601	53033	45836	45504	42731	74706	48777	66681	23872	34124	35035	25209	54039	52664	30444	28459	27675	56229	61429	40944	48436	49831	44684
32	                     % of reads unmapped: other |	0.18%	0.34%	0.46%	0.25%	0.22%	0.20%	0.21%	0.21%	0.29%	0.28%	0.36%	0.36%	0.20%	0.28%	0.24%	0.23%	0.25%	0.34%	0.25%	0.35%	0.13%	0.18%	0.17%	0.13%	0.28%	0.30%	0.15%	0.16%	0.14%	0.30%	0.32%	0.19%	0.29%	0.27%	0.25%
33	                                  CHIMERIC READS:																																			
34	                       Number of chimeric reads |	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	                            % of chimeric reads |	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
