,attribute,E02_1,E02_2,E02_3,E02_4,E02_5,E02_6,E06_1,E06_2,E06_3,E06_4,E06_5,E24_1,E24_2,E24_3,E24_4,E24_6,M02_1,M02_2,M02_3,M02_4,M02_5,M06_1,M06_2,M06_4,M06_5,M06_6,M24_1,M24_2,M24_3,M24_5,M24_6,N02_1,N02_2,N02_3,N02_4,N02_5,N06_1,N06_2,N06_3,N06_5,N06_6,N24_1,N24_2,N24_3,N24_4,N24_6,
17,                         Deletion rate per base |,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
18,                        Deletion average length |,1.58,1.54,1.55,1.53,1.62,1.54,1.53,1.58,1.54,1.53,1.57,1.61,1.59,1.52,1.57,1.56,1.53,1.52,1.53,1.51,1.52,1.54,1.52,1.55,1.52,1.6,1.51,1.55,1.54,1.57,1.56,1.56,1.61,1.53,1.59,1.56,1.6,1.54,1.58,1.55,1.57,1.57,1.55,1.56,1.56,1.59,
19,                        Insertion rate per base |,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
20,                       Insertion average length |,1.23,1.23,1.23,1.23,1.21,1.23,1.23,1.24,1.24,1.24,1.24,1.24,1.24,1.22,1.22,1.23,1.23,1.23,1.22,1.24,1.23,1.23,1.23,1.23,1.24,1.23,1.23,1.23,1.24,1.23,1.22,1.23,1.23,1.22,1.23,1.23,1.23,1.22,1.23,1.23,1.22,1.23,1.23,1.23,1.23,1.25,
21,                             MULTI-MAPPING READS:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,        Number of reads mapped to multiple loci |,462347,424640,399928,468881,678042,438554,844617,534360,582432,549450,742991,497765,509496,476022,509205,517753,486639,470161,476836,484508,512248,644946,448551,1069887,753255,509308,609117,411904,420336,634038,648607,474270,601905,457413,795469,648430,502360,477756,747294,639625,445596,591193,391837,571287,451430,808871,
23,             % of reads mapped to multiple loci |,2.74%,2.33%,2.20%,2.57%,3.70%,2.39%,4.62%,2.92%,3.18%,3.01%,4.07%,2.72%,2.78%,2.60%,2.78%,2.83%,2.66%,2.57%,2.60%,2.65%,2.80%,3.52%,2.45%,5.87%,4.11%,2.78%,3.33%,2.27%,2.31%,3.49%,3.58%,2.61%,3.32%,2.52%,4.39%,3.57%,2.77%,2.63%,4.12%,3.53%,2.46%,3.26%,2.16%,3.14%,2.49%,4.46%,3.08%
24,        Number of reads mapped to too many loci |,833,590,653,873,679,522,1014,824,866,390,602,589,759,419,604,537,396,425,364,463,412,589,434,1202,846,820,742,505,562,664,447,632,502,390,953,565,474,355,1081,882,466,1581,422,350,296,1201,
25,             % of reads mapped to too many loci |,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.01%,0.00%
26,                                  UNMAPPED READS:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,  Number of reads unmapped: too many mismatches |,1228838,1294278,1605806,1337957,1035901,1147420,1342186,1262658,1192664,1180827,1231764,1098326,1048630,1345524,1024835,1161491,1070817,1137914,1041312,1085152,1028779,1141716,1119961,1234576,1138300,1044708,1130061,1128484,1094340,1098493,1320782,1153012,1120707,1103565,1224986,1158236,1107255,1125852,1266268,1607044,1125238,1157005,1549458,1046418,1095901,1702494,
28,       % of reads unmapped: too many mismatches |,7.28%,7.11%,8.82%,7.34%,5.65%,6.27%,7.35%,6.90%,6.51%,6.47%,6.75%,6.00%,5.73%,7.35%,5.59%,6.36%,5.85%,6.22%,5.69%,5.93%,5.62%,6.24%,6.12%,6.78%,6.21%,5.70%,6.18%,6.21%,6.02%,6.04%,7.29%,6.35%,6.17%,6.09%,6.76%,6.39%,6.11%,6.20%,6.98%,8.86%,6.20%,6.38%,8.53%,5.75%,6.05%,9.39%,6.56%
29,            Number of reads unmapped: too short |,54777,63246,60568,58797,92675,64463,81900,73098,76760,74569,74888,65279,69581,68353,63979,66129,64578,64300,62045,62063,74830,72749,67345,83749,79008,75517,76146,63513,63678,68983,63502,66566,67116,72412,82837,69432,68479,63476,80075,76238,62396,84561,65940,70441,61127,67823,
30,                 % of reads unmapped: too short |,0.32%,0.35%,0.33%,0.32%,0.51%,0.35%,0.45%,0.40%,0.42%,0.41%,0.41%,0.36%,0.38%,0.37%,0.35%,0.36%,0.35%,0.35%,0.34%,0.34%,0.41%,0.40%,0.37%,0.46%,0.43%,0.41%,0.42%,0.35%,0.35%,0.38%,0.35%,0.37%,0.37%,0.40%,0.46%,0.38%,0.38%,0.35%,0.44%,0.42%,0.34%,0.47%,0.36%,0.39%,0.34%,0.37%,0.38%
31,                Number of reads unmapped: other |,10282,11045,7702,9008,18785,6256,13974,8836,9819,13527,12157,12022,17621,5731,7090,6557,6804,5224,5329,6584,10110,16835,13262,30087,18312,10833,16202,9375,6831,12036,8946,13253,12597,9162,35332,18401,15092,11133,20865,11814,6696,17006,9395,12613,6303,30340,
32,                     % of reads unmapped: other |,0.06%,0.06%,0.04%,0.05%,0.10%,0.03%,0.08%,0.05%,0.05%,0.07%,0.07%,0.07%,0.10%,0.03%,0.04%,0.04%,0.04%,0.03%,0.03%,0.04%,0.06%,0.09%,0.07%,0.17%,0.10%,0.06%,0.09%,0.05%,0.04%,0.07%,0.05%,0.07%,0.07%,0.05%,0.19%,0.10%,0.08%,0.06%,0.11%,0.07%,0.04%,0.09%,0.05%,0.07%,0.03%,0.17%,0.07%
33,                                  CHIMERIC READS:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,                       Number of chimeric reads |,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,                            % of chimeric reads |,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
